Product Name,Category,Group,Volume,COGS ($),MSRP ($),Gross Profit ($),BMN Net Margin (%),Key Ingredients,Certifications,Ideal For,Generic Images,Has Branded Design,In Bundles,URL,INCI Ingredients
Rosemary Hair & Scalp Strengthening Oil,Scalp & Hair Oil,Hair Care,30 ml / 1.01 fl oz,15.69,22.0,6.31,37.6,Rosemary Oil | Peppermint Oil | Almond Oil | Argan Oil | Castor Oil | Hemp Seed Oil | Nettle Leaf Extract,Gluten Free | Vegan | Ecocert COSMOS Organic | COSMOS ORGANIC Certified,"Dry or brittle hair, scalp nourishment",5,No,Scalp Health & Hair Growth,https://www.selfnamed.com/en/private-label-products/hair-care/rosemary-hair-scalp-strengthening-oil,"Helianthus Annuus (Sunflower) Seed Oil, Decyl Cocoate, Ricinus Communis (Castor) Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Argania Spinosa (Argan) Kernel Oil, Parfum/Fragrance, Cannabis Sativa (Hemp) Seed Oil, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Mentha Piperita (Peppermint) Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Urtica Dioica (Nettle) Leaf Extract, Menthol, Limonene, Camphor, Pinene, Citrus Aurantium Bergamia Peel Oil, Linalool, Beta-Caryophyllene, Vanillin, Linalyl Acetate, Eugenia Caryophyllus Oil, Eugenol, Citrus Aurantium Peel Oil, Citrus Limon Peel Oil, Pogostemon Cablin Oil, Santalol, Coumarin, Carvone"
Anti-Age Day Cream,Moisturizer,Face Care,15 ml / 0.51 fl oz,20.78,32.0,11.22,33.4,Aloe juice | Jojoba oil | Betaine | Shea butter | Berry extract | Flower extract | Avocado oil | Hyaluronic acid | Alteromonas ferment extract,Gluten Free | Nut Free | Vegan | Natural Certified | Ecocert COSMOS Natural,Mature skin,5,No,Anti-Aging Powerhouse,https://www.selfnamed.com/en/private-label-products/face-care/anti-age-day-cream-4,"Aloe Barbadensis (Aloe) Leaf Juice, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Betaine, Isoamyl Laurate, Aqua, Butyrospermum Parkii (Shea) Butter, Parfum, Caprylic/Capric Triglyceride, Polyglyceryl-6 Behenate, Cellulose, CI 77891 (Titanium Dioxide), Mica, Palmitic Acid, Stearic Acid, Vaccinium Vitis-Idaea (Lingonberry) Fruit Extract, Xanthan Gum, Echinacea Purpurea (Coneflower) Flower/Leaf/Stem Extract, Ribes Nigrum (Black Currant) Fruit Extract, Sambucus Nigra (Elder) Flower Extract, Ascorbyl Palmitate, Persea Gratissima (Avocado) Oil, Tocopherol, Hydrolyzed Hyaluronic Acid, Potassium Hydroxide, Sodium Hyaluronate, Sodium Phytate, Alteromonas Ferment Extract, Phenethyl Alcohol, Tin Oxide, Alcohol, Benzyl Salicylate, Limonene, Citral, Linalool"
Natural Retinol Alternative Oil Serum,Serum,Face Care,30 ml / 1.01 fl oz,20.89,32.0,11.11,33.1,Bakuchiol | Rosehip Seed Oil | Jojoba Oil | Strawberry Oil | Evening Primrose Oil | Raspberry Oil | Blueberry Oil,Dermatologically tested | Gluten Free | Nut Free | Vegan | Organic Certified | Ecocert COSMOS Organic,"All skin types, especially mature, uneven, dull, and dry skin",6,No,Anti-Aging Powerhouse,https://www.selfnamed.com/en/private-label-products/face-care/natural-retinol-alternative-oil-serum-2,"Simmondsia Chinensis (Jojoba) Seed Oil, Decyl Cocoate, Dicaprylyl Carbonate, Coco-Caprylate/Caprate, Oenothera Biennis (Evening Primrose) Oil, Rosa Canina (Rosehip) Fruit Oil, Bakuchiol, Tocopherol, Fragaria Ananassa (Strawberry) Seed Oil, Rubus Idaeus (Raspberry) Seed Oil, Undecane, Parfum, Tridecane, Vaccinium Myrtillus (Blueberry) Seed Oil, Geraniol, Citronellol, Linalool, Pelargonium Graveolens Flower Oil, Geranyl Acetate"
Retinol Alternative Serum,Serum,Face Care,30 ml / 1.01 fl oz,19.85,28.0,8.15,30.8,Aloe Juice | Vitamin C | Hyaluronic Acid | Vitamin E | Bidens Pilosa Extract (Retinol Alternative) | Jojoba Oil | Rose Myrtle Extract,Ecocert COSMOS Natural | Gluten Free | Nut Free | Vegan,All skin types,7,No,None,https://www.selfnamed.com/en/private-label-products/face-care/retinol-alternative-serum,"Aloe Barbadensis (Aloe) Leaf Juice, Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Propanediol, Dicaprylyl Carbonate, Astrocaryum Murumuru Seed Butter, Gossypium Herbaceum Seed Oil, Isoamyl Laurate, Bidens Pilosa Extract, Polyglyceryl-6 Behenate, Linum Usitatissimum Seed Oil, Parfum/Fragrance, Cellulose, Aqua/Water, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Lactic Acid, Xanthan Gum, Rhodomyrtus Tomentosa (Rose Myrtle) Fruit Extract, Caprylic/Capric Triglyceride, Rosa Canina (Rosehip) Fruit Oil, Mangifera Indica (Mango) Seed Butter, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Sodium Phytate, Octyldodecanol, Tocopherol, Geraniol, Citronellol, Pelargonium Graveolens Flower Oil, Linalool, Citral"
Peptide Anti-Aging Serum,Serum,Face Care,30 ml / 1.01 fl oz,19.85,28.0,8.15,30.8,Hexapeptide-11 | Hyaluronic Acid | Ginkgo Extract | Blueberry Seed Oil,Gluten Free | Nut Free | Vegan | Natural Certified | Ecocert COSMOS Natural,"Normal, Dry skin",4,No,Firm & Lifted,https://www.selfnamed.com/en/private-label-products/face-care/peptide-serum,"Aloe Barbadensis (Aloe) Leaf Juice, Glycerin, Simmondsia Chinensis (Jojoba) Seed Oil, Aqua/Water, Pentylene Glycol, Cetearyl Alcohol, Sodium PCA, Isoamyl Laurate, Glyceryl Stearate Citrate, Dipalmitoyl Hydroxyproline, Propanediol, Parfum/Fragrance, Caprylic/Capric Triglyceride, Fragaria Ananassa (Strawberry) Seed Oil, Vaccinium Myrtillus (Blueberry) Seed Oil, Xanthan Gum, Hexapeptide-11, Phytosterols, Ricinus Communis (Castor) Seed Oil, Ascorbyl Palmitate, Hydrolyzed Hyaluronic Acid, Potassium Hydroxide, Sodium Hyaluronate, Sodium Phytate, Tocopherol, Leuconostoc/Radish Root Ferment Filtrate, Ginkgo Biloba Leaf Extract, CI 77491 (Iron Oxides), Citric Acid, Sodium Benzoate, Potassium Sorbate, Glycolipids, Linalool, Geraniol, Citronellol"
Smoothing Eye Cream,Eye Cream,Face Care,15 ml / 0.51 fl oz,17.35,22.0,4.65,30.1,Aloe juice | Jojoba oil | Shea butter | Hyaluronic acid | Escin (Horse Chestnut) | Ceramides (Glycosphingolipids),Gluten Free | Vegan | Natural Certified | Ecocert COSMOS Natural,"Oily, Mature skin types",5,No,Firm & Lifted,https://www.selfnamed.com/en/private-label-products/face-care/smoothing-eye-cream-2,"Aloe Barbadensis (Aloe) Leaf Juice, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Isoamyl Laurate, Dipalmitoyl Hydroxyproline, Sodium PCA, Parfum, Polyglyceryl-6 Behenate, Cellulose, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Palmitic Acid, Stearic Acid, Xanthan Gum, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Camellia Sinensis (Black Tea) Leaf Extract, Ascorbyl Palmitate, Glycosphingolipids, Tocopherol, Glycolipids, Aqua, Hydrolysed Hyaluronic Acid, Sodium Hyaluronate, Sodium Phytate, Potassium Hydroxide, Escin, Limonene, Linalool, Coumarin, Geraniol"
Brightening Eye Cream,Eye Cream,Face Care,15 ml / 0.51 fl oz,17.35,22.0,4.65,30.1,Betaine | Shea butter | Ginkgo extract | Horse chestnut extract | Multi-molecular-weight Hyaluronic Acid,Gluten Free | Vegan | Natural Certified | Ecocert COSMOS Natural | COSMOS NATURAL Certified,"Individuals dealing with dark circles, puffiness, and dryness around the eyes",5,No,None,https://www.selfnamed.com/en/private-label-products/face-care/brightening-eye-cream,"Aqua, Helianthus Annuus (Sunflower) Seed Oil, Glycerin, Pentylene Glycol, Cetearyl Alcohol, Isoamyl Laurate, Arachidyl Alcohol, Behenyl Alcohol, Betaine, Palmitic Acid, Stearic Acid, Arachidyl Glucoside, Parfum, Cellulose, Butyrospermum Parkii (Shea) Butter, Coco-Glucoside, Xanthan Gum, Oryza Sativa (Rice) Bran Oil, Vegetable Oil, Helianthus Annuus (Sunflower) Seed Wax, Oryza Sativa (Rice) Bran Wax, Rhus Succedanea Fruit Wax, Ascorbyl Palmitate, Tocopherol, Sodium Phytate, Vitis Vinifera (Grape) Leaf Extract, Potassium Hydroxide, Aesculus Hippocastanum (Horse Chestnut) Seed Extract, Hydrolyzed Hyaluronic Acid, Ginkgo Biloba (Ginkgo) Leaf Extract, Sodium Hyaluronate, Limonene, Geraniol, Coumarin, Linalool"
Retinol Alternative Moisturiser,Moisturizer,Face Care,50 ml / 1.69 fl oz,18.29,24.0,5.71,29.9,Aloe Juice | Sodium PCA | Vitamin C | Hyaluronic Acid | Vitamin E | Bidens Pilosa Extract (Retinol Alternative),Gluten Free | Nut Free | Vegan | Ecocert COSMOS Natural,All skin types,7,No,Clear Skin Reset,https://www.selfnamed.com/en/private-label-products/face-care/retinol-alternative-moisturiser,"Aloe Barbadensis (Aloe) Leaf Juice, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Aqua/Water, Sodium PCA, Dipalmitoyl Hydroxyproline, Astrocaryum Murumuru Seed Butter, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Gossypium Herbaceum Seed Oil, Propanediol, Bidens Pilosa Extract, Dicaprylyl Carbonate, Polyglyceryl-6 Behenate, Parfum/Fragrance, Linum Usitatissimum Seed Oil, Mangifera Indica (Mango) Seed Butter, Caprylic/Capric Triglyceride, Coco-Caprylate, Xanthan Gum, Octyldodecanol, Palmitic Acid, Stearic Acid, Tocopherol, Ascorbyl Palmitate, Potassium Hydroxide, Rhodomyrtus Tomentosa (Rose Myrtle) Fruit Extract, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Sodium Phytate, Alteromonas Ferment Extract, Phenethyl Alcohol, Geraniol, Citronellol, Pelargonium Graveolens Flower Oil, Linalool, Citral"
Niacinamide Gel Moisturiser,Moisturizer,Face Care,30 ml / 1.01 fl oz,18.29,24.0,5.71,29.9,5% Niacinamide | Ginkgo Leaf Extract | Algin,Gluten Free | Nut Free | Vegan | Allergen Label Free,Dry skin,5,No,Brightening Glow Kit,https://www.selfnamed.com/en/private-label-products/face-care/niacinamide-gel-moisturiser-5,"Aqua/Water, Alcohol, Niacinamide, Glycerin, Cellulose Gum, Algin, Potassium Hydroxide, Parfum/Fragrance, Sodium Phytate, Ginkgo Biloba (Ginkgo) Leaf Extract*, Citric Acid, Sodium Benzoate, Potassium Sorbate (*Ingredients from organic farming)"
Collagen Anti-Age Night Cream,Moisturizer,Face Care,50 ml / 1.69 fl oz,21.41,30.0,8.59,28.5,Marine plankton extract | Cocoa Butter | Shea Butter,Gluten Free | Nut Free | Vegan | Natural Certified | Ecocert COSMOS Natural,"Mature, Dry skin types",5,No,None,https://www.selfnamed.com/en/private-label-products/face-care/collagen-anti-age-night-cream,"Aloe Barbadensis (Aloe) Leaf Juice, Helianthus Annuus (Sunflower) Seed Oil, Theobroma Cacao (Cocoa) Seed Butter, Dicaprylyl Carbonate, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Helianthus Annuus (Sunflower) Seed Cera, Butyrospermum Parkii (Shea) Butter, Aqua/Water, Glycerin, Olea Europaea (Olive) Oil Unsaponifiables, Sodium PCA, Parfum/Fragrance, Palmitic Acid, Stearic Acid, Polyglyceryl-6 Behenate, Rhus Verniciflua Peel Cera, Shorea Robusta Resin, Cellulose, Xanthan Gum, Algae Extract, Nasturtium Officinale (Watercress) Flower/Leaf Extract, Sambucus Nigra (Elder) Fruit Extract, Sodium Phytate, Alteromonas Ferment Extract, Phenethyl Alcohol, Ascorbyl Palmitate, Tocopherol, Lactic Acid, Sodium Hyaluronate, Vanillin, Terpineol, Linalyl Acetate"
Ceramide Barrier Night Cream,Moisturizer,Face Care,50 ml / 1.69 fl oz,21.41,30.0,8.59,28.5,Ceramides | Aloe Juice | Jojoba Oil | Sunflower Oil | Cocoa Butter | Shea Butter | Sodium PCA | Hyaluronic Acid,Gluten Free | Nut Free | Vegan | Natural Certified | Allergen Label Free | Ecocert COSMOS Natural,"Normal, Dry skin types",5,No,Deep Hydration Ritual,https://www.selfnamed.com/en/private-label-products/face-care/ceramide-hydrating-night-cream,"Aloe Barbadensis (Aloe) Leaf Juice, Theobroma Cacao (Cocoa) Seed Butter, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Dicaprylyl Carbonate, Pentylene Glycol, Polyglyceryl-6 Stearate, Cetearyl Alcohol, Glycerin, Helianthus Annuus (Sunflower) Seed Cera, Butyrospermum Parkii (Shea) Butter, Olea Europaea (Olive) Oil Unsaponifiables, Sodium PCA, Palmitic Acid, Stearic Acid, Polyglyceryl-6 Behenate, Parfum, Cellulose, Rhus Verniciflua Peel Cera / Rhus Succedanea Fruit Cera, Shorea Robusta Resin, Hippophae Rhamnoides (Sea Buckthorn) Fruit Extract, Xanthan Gum, Paeonia Lactiflora (Peony) Root Extract, Sambucus Nigra (Elder) Fruit Extract, Vaccinium Macrocarpon (Cranberry) Seed Oil, Glycosphingolipids, Glycolipids, Aqua, Sodium Phytate, Ascorbyl Palmitate, Tocopherol, Lactic Acid, Sodium Hyaluronate, Linalool, Limonene"
